date_added,week,category,consolidated_title,weekly_rank,cumulative_weeks_in_top_10,weekly_hours_viewed,imdb_rating,runtime
14-06-2022,12-06-2022,Films (Non-English),Toscana,4,4,2720000.0,5.8,90
07-06-2022,05-06-2022,Films (English),The Outpost,6,1,10120000.0,6.8,123
24-05-2022,22-05-2022,Films (English),Dangerous,3,1,29853575.0,5.1,99
21-06-2022,19-06-2022,TV (Non-English),The War Next-door: Season 2,8,1,7710000.0,5.7,60
17-05-2022,15-05-2022,TV (Non-English),Welcome to Eden: Season 1,1,2,62490000.0,7.0,60
12-04-2022,10-04-2022,Films (English),The In Between,1,1,26770000.0,5.8,115
26-04-2022,24-04-2022,Films (Non-English),Black Crab,8,6,1830000.0,7.0,125
24-05-2022,22-05-2022,TV (English),Bridgerton: Season 2,7,9,10818900.0,7.3,60
12-04-2022,10-04-2022,Films (English),Shrek Forever After,4,2,9770000.0,6.3,93
28-06-2022,26-06-2022,Films (English),Love & Gelato,4,1,25790000.0,7.0,106
07-06-2022,05-06-2022,Films (English),Jack Reacher,9,1,5370000.0,7.0,130
07-06-2022,05-06-2022,TV (English),Stranger Things 2,3,2,58270000.0,8.7,51
28-06-2022,26-06-2022,Films (Non-English),The Wrath of God,3,2,8450000.0,7.0,125
19-04-2022,17-04-2022,Films (English),A Score to Settle,3,1,9750000.0,4.7,103
24-05-2022,22-05-2022,Films (Non-English),Honeymoon with My Mother,9,4,2151190.0,7.0,125
14-06-2022,12-06-2022,Films (Non-English),RRR (Hindi),1,4,5230000.0,7.0,125
05-04-2022,03-04-2022,Films (English),Rescued by Ruby,9,3,6380000.0,7.0,106
12-04-2022,10-04-2022,TV (English),Jimmy Savile: A British Horror Story: Limited Series,4,1,17700000.0,6.7,170
07-06-2022,05-06-2022,Films (English),Interceptor,1,1,35600000.0,7.0,106
12-04-2022,10-04-2022,TV (English),Super PupZ: Season 1,8,1,13770000.0,6.7,25
26-04-2022,24-04-2022,Films (English),Playing with Fire,7,1,6750000.0,5.9,96
10-05-2022,08-05-2022,Films (English),365 Days: This Day,1,2,27530000.0,2.5,111
26-04-2022,24-04-2022,Films (English),How It Ends,4,3,8280000.0,5.0,113
14-06-2022,12-06-2022,TV (Non-English),Two Summers: Season 1,7,1,12210000.0,7.0,60
19-04-2022,17-04-2022,Films (English),The Call,7,1,7710000.0,7.1,112
03-05-2022,01-05-2022,TV (Non-English),Pedro el escamoso: Season 1,7,2,10460000.0,7.5,60
28-06-2022,26-06-2022,TV (Non-English),She: Season 2,7,1,9490000.0,6.5,36
19-04-2022,17-04-2022,Films (English),Return to Space,8,2,7150000.0,7.0,106
19-04-2022,17-04-2022,Films (Non-English),Dancing on Glass,4,1,5230000.0,7.0,125
05-04-2022,03-04-2022,Films (Non-English),Captain Nova,7,1,3290000.0,5.5,86
05-04-2022,03-04-2022,TV (Non-English),"Yo soy Betty, la fea: Season 1",6,17,10890000.0,8.2,30
10-05-2022,08-05-2022,TV (Non-English),The Marked Heart: Season 1,1,3,48550000.0,7.0,60
17-05-2022,15-05-2022,TV (Non-English),Pedro el escamoso: Season 1,8,4,9820000.0,7.5,60
24-05-2022,22-05-2022,Films (English),Operation Mincemeat,8,2,6922150.0,7.0,106
24-05-2022,22-05-2022,TV (Non-English),Who Killed Sara?: Season 1,5,1,17040409.0,6.5,60
21-06-2022,19-06-2022,Films (English),Sonic the Hedgehog,8,8,4570000.0,6.5,99
